	id	acronym
0	184	FrA
1	500	M
2	453	S
3	44	A24a (IL)
4	1057	DI
5	677	GI
6	247	Au
7	669	V
8	31	A24 (Cg)
9	972	A32 (PrL)
10	714	O
11	95	AI
12	254	A29-30 (RS)
13	22	PtA
14	541	TeA 
15	922	PRh
16	895	Ect
17	507	MOB
18	151	AOB
19	159	AO
20	589	TT
21	814	A25 (DP)
22	961	PIR
23	619	LOT
24	631	CO
25	788	RAPir
26	566	Apir
27	375	CA
28	726	DG
29	982	FC
30	19	IG
31	909	ENT
32	843	PaS
33	1037	Post
34	1084	PrS
35	502	SUB
36	583	Cl
37	942	En
38	131	La
39	295	BL
40	319	BM
41	780	AHi
42	672	CP
43	754	Tu
44	998	IPAC
45	2074	AcbC
46	2006	AcbSh
47	2007	LAcbSh
48	2001	LSS
49	2050	ASt 
50	275	LSX
51	278	sAMY
52	1022	GP
53	1031	EP
54	835	VP
55	342	SI
56	2028	B
57	826	PALm
58	2308	SM
59	351	ST
60	287	BAC
61	2115	Eth
62	2116	REth
63	2117	Sc
64	2120	PIL
65	637	VENT
66	406	SPF
67	1044	PP
68	2158	SubB
69	1008	GENd
70	138	LAT
71	239	ATN
72	444	MED
73	571	MTN
74	51	ILM
75	262	Rt
76	1014	GENv
77	958	EPI
78	2414	PVG
79	157	PVZ
80	141	PVR
81	467	MEZ 
82	290	LZ
83	10671	ME
84	374	SNC
85	1052	PTg
86	872	DR
87	591	CLi
88	197	RLi 
89	12	IF
90	100	IP
91	2476	SC
92	4	IC
93	580	BIC
94	271	Sag
95	874	PBG
96	2163	MiTg
97	2108	SCO
98	2107	PR
99	1132	P-sen
100	987	P-mot
101	2166	B9
102	1117	P-sat
103	386	MY-sen
104	370	MY-mot
105	379	MY-sat
106	912	1Cb
107	976	2Cb
108	984	3Cb
109	928	CUL
110	936	6Cb
111	944	7Cb
112	951	8Cb
113	957	9Cb
114	968	10Cb
115	1007	Sim
116	1056	Crus1
117	1064	Crus2
118	1025	PM
119	1033	Cop
120	1041	PFl
121	1049	Fl
122	2244	MedDL
123	2245	MedL
124	2239	IntA
125	2240	IntDL
126	2241	IntP
127	2242	IntPPC
128	846	Lat
129	2247	LatPC
